INSCRIÇÃO;CÓDCURSO;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
1717015;7;B;E;E;C;C;D;C;B;C;C;C;B;C;D;C;D;D;B;E;E;C;B;B;C;E;C;D;D;D;D;C;D;D;C;D;E;A;;C;D;C;C;C;B;E;B;D;D;D;C;B;B;C;D;D;D;D;A;E;C;D;D;C;D;B;B;D;C;B;D;D;C;D;D;D;C;B;E;A;E;E;A;A;E;D;A;C;E;A;B
1717014;7;A;B;B;C;D;C;A;D;B;C;E;D;C;A;D;A;B;D;C;E;D;C;B;D;B;E;E;B;C;D;A;A;C;C;E;C;C;B;A;B;A;B;B;D;C;A;C;C;E;C;B;A;D;B;C;B;E;B;C;B;D;E;A;C;B;D;B;D;A;E;D;D;C;C;B;B;C;D;A;D;B;D;D;C;C;D;A;B;D;C
1717013;7;C;C;A;B;B;A;C;B;C;C;B;C;D;A;C;E;C;C;B;C;D;C;B;D;E;C;D;C;A;C;B;D;C;D;C;B;D;B;C;D;C;B;D;A;C;B;A;B;C;A;E;D;A;C;D;A;B;B;A;D;D;A;B;D;B;B;C;B;D;E;B;E;B;B;A;C;C;C;A;D;D;D;A;B;C;A;A;C;D;D
1717012;7;C;C;B;D;C;A;D;B;A;B;B;B;D;D;C;B;D;E;A;E;B;E;A;A;B;E;B;C;A;D;D;A;D;B;A;C;C;D;C;A;E;E;C;A;D;A;E;C;C;E;B;D;C;B;D;A;A;C;A;A;E;D;C;A;C;C;C;B;C;A;E;E;A;E;D;E;C;A;B;B;A;D;A;C;B;A;C;A;E;E
1717010;7;A;B;C;C;D;C;A;A;B;B;E;C;A;B;B;B;D;A;B;C;C;A;E;D;A;BB;E;D;D;C;B;A;B;C;D;E;E;D;C;B;A;A;A;A;A;A;D;B;C;E;B;B;A;D;B;E;A;C;D;C;D;A;D;B;E;D;C;B;A;B;C;D;E;C;B;C;E;E;A;D;C;C;D;C;A;A;D;C;C;B
1717007;7;C;E;B;C;D;D;D;D;B;C;C;C;C;A;D;B;B;D;E;A;C;D;B;E;A;C;D;A;E;C;B;D;A;B;B;C;B;C;E;A;A;D;A;E;E;B;D;D;A;B;E;B;C;B;C;D;B;A;E;C;D;D;B;C;C;D;C;A;B;B;B;D;B;D;C;C;B;E;A|E;A;D;D;D;B;B;E;B;A;E;E
1717006;7;B;B;B;D;B;C;A;E;D;C;A;D;A;D;C;A;B;D;B;E;B;B;B;C;A;B;A;E;B;D;B;A;C;C;D;D;A;D;C;D;D;E;B;B;D;A;D;C;D;E;B;A;A;E;B;C;B;D;B;B;E;D;B;D;B;D;C;A;E;A;A;E;B;A;A;D;B;D;A;D;D;D;A;B;E;E;B;E;E;C
1717005;7;C;C;E;E;A;C;D;A;A;E;E;D;A;B;B;A;B;C;D;E;D;D;B;D;B;B;C;C;D;E;B;E;C;C;A;A;C;C;C;D;D;A;D;A;B;A;D;C;E;E;E;A;B;B;C;C;B;A;B;B;E;E;D;D;D;C;C;E;E;A;A;D;E;E;E;E;A;A;A;C;B;D;A;D;C;D;C;B;B;D
1717004;7;C;D;E;B;C;E;A;E;C;A;A;D;C;A;C;D;B;C;A;E;B;C;A;D;C;E;D;B;D;B;D;A;C;B;A;C;E;C;B;D;A;D;C;E;D;A;D;B;D;E;B;C;B;B;D;C;D;C;E;D;D;A;D;E;A;C;C;A;C;A;A;D;C;B;B;D;E;D;A;B;C;D;A;C;E;D;A;D;B;D
1717003;7;D;C;B;E;B;D;B;E;B;D;C;A;E;B;D;B;B;C;D;E;B;E;B;D;B;B;C;B;C;E;A;C;B;B;D;B;A;B;A;C;D;E;D;C;E;A;A;B;C;E;A;D;A;B;D;B;A;C;C;B;E;C;D;C;B;C;C;E;C;B;D;D;C;D;C;E;C;C;A;C;C;D;A;B;C;A;D;B;E;E
1717001;7;A;C;B;D;D;C;D;A;D;D;D;D;A;C;D;D;B;B;B;E;B;E;B;D;B;E;E;E;D;A;C;A;D;A;C;C;D;D;C;C;D;E;C;C;A;A;A;C;E;E;B;D;D;D;C;C;D;A;B;B;D;D;D;A;C;D;D;C;C;C;D;D;E;C;E;E;E;C;C;;D;D;A;;B;A;C;C;D;A
1716040;6;A;C;D;D;D;E;A;D;A;D;D;D;A;C;D;A;D;B;D;E;B;C;E;D;C;A;A;D;D;A;B;A;C;A;C;C;A;E;E;A;D;A;A;C;E;E;D;C;C;E;B;A;C;D;C;E;A;A;E;B;D;A;D;B;C;D;C;E;C;A;B;D;B;B;C;A;C;A;A;D;E;A;D;A;E;E;D;B;D;E
1716025;6;C;C;C;A;D;A;C;D;E;B;C;D;A;B;A;C;B;D;B;E;D;C;E;D;D;A;D;D;C;B;A;E;C;A;D;B;C;B;A;C;D;D;B;D;D;B;D;A;E;C;B;A;B;D;C;A;C;A;D;D;D;E;A;B;C;D;D;C;D;A;A;E;C;D;E;D;E;D;C;B;C;D;A;B;;;;;;
1716024;6;C;C;D;C;D;D;D;A;D;D;C;D;A;B;C;A;B;A;C;E;E;D;C;;;;;;;;;;;;;;;;;;;;;;;B;D;C;B;D;C;B;C;B;D;A;B;E;C;B;D;E;B;D;B;D;C;C;A;A;A;E;A;C;E;C;A;D;C;A;B;D;A;D;E;B;B;D;A;E
1716022;6;A;E;D;C;D;E;D;E;B;D;D;D;C;A;B;A;C;C;D;A;B;C;B;D;C;C;B;B;D;E;B;A;C;B;C;C;C;A;A;E;B;B;B;E;E;E;D;C;C;D;B;A;C;B;C;D;B;A;D;E;E;E;A;B;C;B;C;E;E;A;A;D;B;D;B;D;B;C;A;D;E;D;A;A;D;D;C;D;E;C
1716019;6;A;C;B;B;B;E;B;B;C;A;C;D;C;A;D;D;D;D;D;E;D;C;C;D;A;E;C;B;B;A;A;A;C;C;D;B;C;D;A;C;B;B;C;C;C;A;E;D;A;B;C;D;C;E;C;B;A;E;D;B;E;A;B;D;B;C;C;A;C;A;D;D;D;C;B;E;C;C;A;D;B;D;D;D;E;A;E;C;B;E
1716018;6;D;D;B;B;D;B;D;D;D;A;E;D;C;E;C;A;C;A;B;E;D;B;C;D;B;A;D;D;C;C;D;D;D;B;C;C;A;E;D;A;B;D;E;B;A;A;D;D;C;B;E;A;C;B;C;D;B;C;A;C;D;E;C;E;B;C;D;A;C;A;A;E;B;C;A;D;E;A;C;D;B;D;D;A;C;A;E;C;A;D
1716017;6;A;B;D;C;D;B;D;E;C;A;D;D;C;B;D;A;E;B;B;E;D;D;E;D;C;B;D;C;D;B;A;A;C;C;E;A;C;B;D;C;D;B;E;A;D;A;D;C;B;B;B;A;C;E;B;B;D;A;E;B;D;D;C;D;C;A;C;E;A;A;C;D;C;D;E;E;E;A;A;B;C;B;D;E;D;C;C;B;A;E
1716016;6;C;C;E;B;D;B;D;D;A;B;D;D;D;C;C;A;C;D;B;E;B;C;E;D;B;A;D;E;D;A;A;A;C;A;D;C;A;B;B;E;C;A;D;B;C;A;D;C;A;E;B;D;C;B;D;E;D;A;E;E;D;D;D;B;B;A;C;E;C;A;B;D;C;B;E;B;C;A;E;D;;;;;;;;;;
1716015;6;B;A;E;C;A;C;C;B;C;E;A;D;C;C;B;E;A;B;C;D;E;C;B;B;B;A;C;B;E;E;A;A;A;C;B;E;C;C;B;A;D;A;B;D;E;C;D;D;E;B;B;A;A;D;A;E;D;C;C;C;D;E;D;B;B;D;E;D;A;A;A;D;D;D;E;C;D;A;E;C;A;B;C;C;D;B;D;A;E;C
1716014;6;A;E;D;D;C;D;C;A;D;A;D;D;A;C;C;B;C;D;C;E;D;E;E;D;A;B;E;B;C;B;A;E;D;B;B;B;C;C;E;B;A;D;C;E;E;A;D;D;E;D;B;D;B;B;C;B;B;C;D;B;D;E;C;C;C;C;C;A;C;A;B;D;C;D;B;E;C;B;A;C;E;D;A;A;C;A;B;C;B;D
1716013;6;C;C;D;A;C;B;D;A;D;E;E;D;C;A;B;A;D;C;E;A;A;A;A;B;C;C;C;A;C;B;A;A;D;A;C;C;C;D;C;B;C;D;D;B;E;D;E;B;B;E;E;E;B;B;D;B;A;E;D;A;D;D;D;D;B;D;D;A;A;A;D;D;B;D;B;A;D;C;C;B;D;D;A;A;B;A;E;A;E;C
1716012;6;E;E;C;D;D;E;C;D;E;B;C;A;D;A;D;A;D;D;C;E;C;C;E;D;D;A;C;D;E;D;C;A;C;C;C;A;B;D;E;E;D;E;E;E;D;B;D;C;B;C;E;D;C;B;A;A;C;B;E;D;D;D;A;B;B;D;A;C;A;A;E;C;D;C;C;B;B;D;A;D;E;D;B;C;E;D;D;B;A;C
1716010;6;A;C;B;B;D;C;D;C;E;A;B;D;B;C;C;A;A;D;B;E;B;E;E;D;A;A;D;D;D;D;B;E;C;C;C;E;A;E;A;B;D;A;E;B;B;A;D;C;E;C;E;B;C;B;E;A;A;B;A;E;E;E;C;B;C;B;C;B;A;A;C;D;D;C;C;C;A;B;A;A;B;D;D;D;C;A;A;E;B;C
1716009;6;B;C;C;A;D;D;B;D;D;E;D;A;A;C;D;A;E;D;C;E;A;B;E;D;B;D;D;A;C;C;B;C;C;C;E;C;A;B;B;C;E;E;E;A;D;E;D;C;C;C;B;D;C;B;B;E;C;B;B;D;E;D;D;B;A;D;C;B;C;A;D;E;B;C;A;D;D;C;A;C;E;C;D;D;E;E;A;A;B;C
1716008;6;C;C;B;A;C;B;A;C;D;D;E;D;D;D;C;B;C;B;E;E;B;D;A;C;A;B;B;A;B;D;C;E;C;B;B;A;A;D;D;E;A;D;B;A;C;B;A;D;A;A;C;D;C;B;C;A;C;D;C;A;C;C;A;D;B;D;D;C;C;A;B;D;B;C;B;C;B;B;A;C;C;A;A;D;B;E;D;A;B;C
1716007;6;C;D;B;B;A;B;D;C;B;B;D;C;B;A;C;B;D;E;D;B;A;B;A;B;C;B;A;C;D;C;B;B;A;C;B;C;D;C;C;B;B;D;E;A;B;E;B;C;D;B;A;C;C;B;D;E;A;C;D;D;C;D;C;D;E;E;B;B;C;A;A;D;A;D;A;B;C;C;C;D;D;D;A;D;C;D;B;C;C;D
1716006;6;B;B;C;D;D;E;C;E;B;C;C;D;B;B;A;C;A;D;A;E;A;B;B;A;B;A;B;A;D;C;D;B;C;D;D;B;B;D;E;C;C;D;C;B;D;E;D;C;E;D;C;B;C;B;A;C;D;E;E;E;D;E;A;B;A;D;A;E;C;A;D;D;D;E;B;A;A;C;A;A;B;D;D;E;C;E;C;A;A;D
1716004;6;B;E;D;C;D;C;C;C;B;B;C;D;C;D;C;A;C;C;D;B;E;C;B;D;B;C;B;D;D;A;D;D;C;D;C;B;C;A;E;A;E;D;D;A;B;A;A;C;E;C;B;A;D;D;B;E;D;C;A;B;D;A;A;E;C;D;C;E;B;B;A;E;D;B;E;C;A;C;A;B;E;A;D;D;E;A;A;C;E;D
1716002;6;A;C;C;C;D;B;E;D;C;B;B;D;C;E;D;C;A;D;D;E;D;C;B;D;B;A;D;D;D;A;D;A;C;C;C;C;D;E;C;E;D;A;C;B;B;C;B;C;B;E;E;A;C;B;D;C;B;A;B;E;D;B;E;D;A;D;B;C;A;A;A;D;B;E;A;E;C;B;D;D;E;A;A;B;C;E;D;A;C;B
1715095;5;B;B;E;B;D;D;D;D;C;A;E;D;A;B;B;A;D;D;D;E;D;E;C;D;B;A;C;D;D;A;B;D;C;C;A;C;A;C;C;B;D;B;E;B;E;B;D;C;A;B;B;D;B;B;B;A;D;A;B;E;D;E;D;C;C;E;B;B;C;B;A;E;D;C;E;D;D;C;E;A;A;C;A;D;D;A;D;C;D;A
1715092;5;A;B;D;C;D;B;D;D;B;E;E;D;C;B;C;A;B;D;A;E;C;D;E;D;B;D;E;D;B;C;A;A;D;C;D;C;A;C;C;A;C;D;B;B;E;B;D;B;C;A;B;D;C;B;D;A;C;B;D;C;D;A;A;B;B;D;C;B;C;E;A;E;B;D;B;D;A;B;A;C;C;D;A;D;C;B;D;A;B;C
1715091;5;E;B;D;E;C;D;A;B;E;A;B;B;D;D;B;A;A;B;C;C;A;E;C;C;D;C;B;D;E;B;D;A;D;B;C;B;E;A;C;B;A;D;B;B;C;A;A;B;C;C;B;D;E;C;E;C;D;C;A;C;D;D;E;D;A;E;D;A;A;A;C;D;D;A;A;A;D;E;C;C;C;E;D;E;B;A;E;C;B;C
1715090;5;A;D;D;C;D;E;D;A;D;E;C;D;A;C;D;A;C;D;D;E;D;B;E;D;C;C;D;C;D;C;B;D;C;C;D;C;C;A;C;A;D;A;C;A;E;A;D;C;C;E;A;A;C;B;D;C;C;D;E;B;D;A;D;B;C;D;C;B;E;A;B;E;B;E;B;A;D;C;A;C;E;D;A;D;C;D;A;C;A;B
1715088;5;C;A;C;B;D;E;C;B;D;C;E;D;A;A;B;D;C;D;A;E;A;B;E;D;B;E;D;D;D;A;D;A;C;C;D;C;B;A;B;E;D;B;C;D;E;B;D;D;C;C;E;D;C;E;B;A;C;B;C;E;D;D;D;B;C;B;D;D;E;D;A;D;B;A;D;A;B;B;C;D;B;C;A;D;B;E;A;C;D;C
1715087;5;E;C;C;B;A;A;C;D;C;E;A;B;A;C;C;B;D;A;C;C;D;D;E;D;B;B;A;B;C;A;B;D;D;B;D;A;D;D;A;B;D;C;D;A;C;B;D;E;C;E;B;B;C;E;C;A;A;C;C;E;D;D;C;D;D;D;C;A;A;A;A;D;D;C;B;D;C;D;A;D;D;D;A;E;C;E;D;C;A;D
1715086;5;E;C;D;B;C;D;D;E;C;E;B;D;A;C;B;A;D;A;A;E;C;B;E;C;A;B;D;A;E;C;C;E;B;B;C;A;D;B;A;E;C;A;B;D;E;E;D;B;E;E;C;D;B;B;D;D;A;E;E;B;D;E;A;C;D;A;C;A;C;A;D;D;C;E;B;C;B;D;A;C;B;A;A;C;B;D;C;E;E;D
1715085;5;A;C;C;A;D;E;C;A;D;E;D;D;E;B;A;A;A;C;C;E;B;B;A;D;C;E;E;E;E;B;B;E;C;B;C;E;E;C;C;C;B;B;B;B;E;E;C;B;B;C;E;A;B;E;B;D;A;E;E;B;D;A;B;C;B;D;C;A;D;A;B;E;E;A;D;A;B;B;D;A;A;D;B;B;C;B;C;B;E;A
1715083;5;B;D;A;B;D;C;C;D;B;D;D;D;B;E;B;A;C;D;;E;D;B;E;D;B;A;D;D;D;A;A;E;C;C;D;C;C;C;C;A;B;A;B;C;D;A;A;C;E;E;B;A;E;B;B;A;B;A;B;E;D;C;D;C;C;D;D;B;A;A;A;D;E;E;B;E;C;C;A;B;A;A;A;A;E;A;A;E;E;D
1715082;5;A;C;C;C;D;E;C;D;B;D;D;D;A;B;A;A;C;C;D;E;C;D;D;D;B;C;D;D;D;C;B;A;C;C;C;C;C;A;C;D;D;A;C;C;E;A;D;C;E;D;B;A;C;B;D;B;D;A;E;D;D;E;B;D;D;B;C;E;C;A;C;D;C;E;C;C;A;B;A;D;B;D;A;A;E;E;C;C;B;D
1715081;5;A;D;B;A;B;E;D;C;C;A;C;B;C;B;D;C;C;B;C;A;B;E;D;A;D;D;D;A;C;C;B;E;D;B;D;C;C;C;C;B;D;D;A;A;E;E;E;D;C;A;B;A;D;E;B;B;A;E;E;B;D;B;E;E;A;C;D;B;C;C;D;D;C;B;C;D;C;B;C;B;C;C;D;B;B;A;E;C;A;C
1715079;5;E;D;C;D;D;D;D;B;C;E;A;D;B;C;D;B;E;D;C;E;D;D;B;D;E;D;D;E;D;A;C;D;A;C;D;C;A;B;D;C;E;D;B;B;B;E;D;C;A;D;B;D;C;B;D;E;A;E;C;E;C;B;C;D;C;C;B;A;A;B;E;B;D;E;C;C;D;C;A;C;C;D;C;C;A;D;C;C;A;E
1715076;5;A;E;E;C;D;B;C;E;D;A;B;D;A;C;B;A;E;D;D;E;A;B;C;D;B;D;D;A;B;E;E;D;C;C;E;C;E;A;C;B;D;B;D;B;C;E;D;C;C;D;B;A;A;B;C;D;A;C;E;A;C;B;D;A;A;C;C;A;C;A;A;D;C;C;A;D;B;D;A;B;E;D;D;E;B;C;D;A;C;C
1715075;5;C;C;D;D;E;C;D;D;D;D;D;E;C;D;C;A;C;E;D;C;D;B;B;D;B;A;D;D;C;B;B;D;C;B;D;C;B;C;D;D;C;B;E;E;E;A;D;C;D;E;E;B;E;B;C;E;D;A;E;E;D;E;D;D;A;C;C;A;A;E;C;C;D;E;B;C;C;B;A;C;A;E;A;D;D;A;D;B;E;E
1715073;5;B;D;C;C;D;D;A;A;C;D;B;A;C;D;A;A;C;B;D;E;B;D;E;D;B;D;D;A;C;D;E;A;C;B;C;C;D;A;C;D;E;B;E;B;E;E;D;C;B;E;B;A;A;D;C;B;B;D;C;B;D;E;D;B;C;A;C;A;A;A;A;D;B;E;B;E;C;D;A;B;E;D;A;E;E;D;A;E;B;D
1715072;5;B;D;E;D;D;C;D;D;D;D;A;D;A;C;D;C;B;A;D;E;A;E;E;D;A;D;E;B;D;A;D;C;D;A;E;A;C;D;E;B;D;B;B;B;E;D;A;D;B;E;A;B;A;D;E;A;C;B;D;E;D;A;C;D;A;D;B;E;D;A;B;D;B;C;B;E;E;B;C;D;C;B;A;A;B;E;D;C;B;E
1715071;5;C;C;E;D;B;B;D;B;C;D;A;D;D;E;C;C;A;C;D;A;C;C;B;A;A;B;E;A;D;C;B;A;C;C;D;D;A;C;C;A;B;D;D;B;A;E;D;D;E;D;C;B;D;E;B;C;D;B;D;E;D;D;C;B;C;A;A;C;A;A;C;A;B;D;B;A;B;D;C;A;E;C;D;B;C;E;A;B;C;E
1715069;5;D;C;C;A;D;B;C;C;D;D;B;D;C;C;B;B;C;A;A;E;D;B;A;D;E;D;B;B;C;D;A;C;C;B;D;C;B;A;B;D;A;B;C;B;D;A;D;B;B;E;E;A;B;D;D;C;E;C;E;A;D;E;B;B;A;A;D;A;B;A;E;E;A;A;A;B;C;B;D;C;B;E;C;E;A;D;B;D;D;C
1715068;5;A;B;C;C;D;E;A;C;B;B;C;D;A;C;C;A;B;D;D;E;A;A;B;D;C;B;D;D;D;A;B;D;C;B;C;C;B;B;C;E;D;C;D;E;D;E;C;C;B;A;E;A;B;B;D;E;B;B;B;B;D;E;C;B;A;D;C;D;C;D;A;D;B;A;B;E;C;C;A;D;B;D;A;C;C;A;D;A;E;C
1715067;5;A;C;D;D;D;E;D;D;D;C;B;D;A;C;D;A;D;C;D;C;B;B;E;D;B;A;A;D;B;A;B;D;C;A;C;C;A;A;C;D;B;B;D;A;B;B;D;C;B;E;E;A;E;B;A;D;D;B;A;B;E;A;B;C;C;C;D;B;C;A;D;D;A;C;A;D;E;B;A;A;B;C;A;D;E;B;A;A;B;E
1715066;5;B;A;D;C;D;E;D;A;D;E;B;D;A;B;D;A;C;B;D;E;D;C;E;D;C;A;B;D;C;A;B;D;C;C;C;C;C;A;C;;E;A;B|E;B;;B;D;C;E;E;B;A;A;B;D;C;A;A;E;B;D;E;C;C;E;E;C;E;B;A;A;D;D;D;B;A;C;B;A;E;C;D;A;D;A;D;A;B;D;D
1715065;5;A;E;A;D;D;E;C;A;B;C;B;D;D;C;D;A;C;D;E;E;B;A;C;D;A;D;D;D;D;C;B;D;C;C;D;B;B;D;C;E;C;E;B;A;D;E;D;C;C;E;A;A;E;B;A;C;C;A;E;D;D;E;D;B;B;D;B;B;E;A;D;D;B;D;B;C;E;C;A;A;C;D;A;D;B;D;E;D;A;A
1715064;5;A;D;B;C;D;C;B;E;C;E;C;D;A;A;B;D;B;D;A;E;D;C;D;D;E;C;D;B;B;B;B;D;D;D;D;A;A;A;D;D;D;D;D;E;B;B;D;C;D;D;E;D;D;B;C;C;C;C;B;B;D;E;B;A;B;D;C;B;C;A;A;E;C;E;D;D;E;C;A;D;B;D;A;C;E;E;C;A;D;E
1715063;5;B;C;E;B;D;C;B;A;C;A;C;D;D;B;E;A;C;D;D;C;E;D;C;D;C;D;E;D;B;B;C;D;C;A;D;B;A;D;B;D;C;D;B;E;C;E;D;B;A;D;E;A;B;B;D;A;C;D;B;B;D;D;A;E;B;D;C;C;E;B;A;D;E;D;A;B;C;D;A;E;B;A;A;D;B;E;A;B;D;C
1715061;5;A;C;B;E;D;B;A;B;D;E;B;D;A;C;D;B;A;D;D;E;C;E;A;D;B;E;D;C;D;A;A;E;C;C;C;C;C;D;E;E;D;A;C;B;E;A;D;C;D;A;E;A;E;B;C;C;A;B;E;D;D;E;B;C;A;C;C;B;B;A;B;D;B;D;B;C;C;B;A;C;B;D;A;C;E;A;C;A;B;B
1715060;5;B;E;D;A;D;E;A;D;C;C;C;D;C;A;D;A;D;D;C;E;D;C;E;D;B;A;D;D;B;E;B;D;C;C;D;B;A;B;C;E;D;B;E;E;E;A;D;D;E;E;C;A;B;E;D;D;E;A;C;B;E;A;D;C;C;D;C;E;B;A;A;D;E;D;A;E;A;C;A;B;E;D;A;C;D;A;B;B;D;C
1715059;5;C;B;B;D;C;B;D;A;B;E;B;A;C;B;C;B;C;D;B;C;B;A;B;D;A;C;B;B;B;C;A;A;C;D;B;B;C;A;D;C;B;D;C;A;E;B;C;B;C;D;A;B;D;B;C;A;A;A;E;D;D;A;C;D;A;D;C;E;A;A;B;D;B;A;D;C;C;C;D;B;B;D;A;C;D;A;A;C;E;A
1715056;5;C;D;C;D;D;B;C;C;C;D;E;D;A;B;D;A;C;A;D;E;B;C;E;D;C;B;D;E;D;E;C;A;C;D;B;C;A;D;C;B;C;B;D;D;B;B;D;B;E;D;B;A;C;D;A;E;D;A;E;E;D;A;C;D;A;A;C;E;E;A;D;E;E;E;B;A;A;D;A;C;E;D;A;E;D;A;B;A;C;E
1715054;5;A;C;B;D;D;B;B;E;B;D;D;D;D;D;C;C;B;C;A;E;E;D;E;B;C;A;D;D;D;D;A;C;B;C;D;B;C;E;C;E;D;A;B;D;D;E;D;C;A;D;B;A;C;D;D;D;D;A;A;B;D;E;E;C;C;C;C;A;C;B;A;D;A;E;A;A;E;A;C;D;B;D;A;A;E;A;C;C;D;C
1715052;5;A;C;B;C;D;B;C;C;B;E;D;D;A;B;D;B;D;C;C;E;B;B;E;D;D;A;E;C;C;D;C;A;B;B;B;D;A;E;C;B;E;C;B;B;C;E;D;C;E;B;E;D;B;B;B;A;A;C;A;E;D;A;D;B;B;D;C;C;E;B;A;D;E;B;B;E;E;B;A;D;D;D;C;C;B;D;A;E;C;B
1715051;5;A;B;B;D;D;E;D;D;D;E;C;D;B;C;C;A;E;C;D;E;C;A;C;D;B;A;C;D;B;A;B;A;C;C;C;C;C;D;C;E;D;A;C;D;D;A;A;C;E;E;B;A;C;A;E;C;D;C;B;E;D;A;C;B;B;D;C;D;E;A;D;D;B;E;A;E;C;C;A;D;E;A;D;D;C;E;D;C;B;E
1715049;5;E;C;B;D;D;E;D;D;C;C;B;B;C;B;C;E;B;D;B;E;B;E;E;D;C;D;C;E;D;A;D;A;C;A;E;C;C;D;E;B;D;E;A;A;E;A;C;C;E;D;A;A;B;D;B;C;D;B;A;B;C;A;B;B;D;C;C;D;B;A;A;D;D;D;A;D;C;B;A;E;B;D;A;B;C;E;A;E;E;A
1715048;5;C;E;E;D;D;B;C;D;C;A;D;D;A;D;C;B;C;C;A;E;D;C;E;D;C;D;E;A;D;C;A;A;C;A;E;C;E;C;A;B;C;D;D;E;E;B;D;C;D;E;C;A;B;B;C;D;A;A;C;B;D;D;D;B;B;D;C;C;C;D;A;E;A;D;E;A;A;C;C;D;C;A;A;C;D;E;D;D;A;C
1715047;5;C;C;C;C;D;C;C;E;C;A;C;D;C;C;C;C;C;C;C;E;A;C;A;D;B;C;B;C;D;C;B;E;C;C;B;C;C;C;C;C;D;E;C;E;E;A;D;D;C;C;E;B;B;C;C;C;D;C;C;C;C;C;B;C;A;D;C;E;A;A;E;E;D;D;E;C;C;C;A;A;B;A;A;A;A;A;A;A;A;A
1715046;5;E;C;E;A;D;E;C;D;B;A;B;D;A;D;B;B;B;D;D;A;B;D;A;D;E;B;C;A;C;C;A;E;C;B;D;C;A;D;A;E;A;E;C;D;D;A;D;B;E;E;E;A;C;C;B;A;D;C;D;B;D;E;E;E;B;C;C;C;C;E;A;E;B;A;A;D;C;D;A;D;A;D;A;E;A;E;B;B;E;E
1715045;5;E;D;D;D;C;A;D;D;A;C;C;D;A;C;E;B;B;D;C;C;B;B;E;D;C;A;D;D;D;B;A;A;C;B;B;E;B;C;E;B;B;E;B;C;D;D;C;C;E;E;B;C;C;B;B;D;D;A;E;B;D;E;C;B;C;D;A;C;C;A;D;D;B;E;A;A;C;D;A;B;E;D;A;A;C;A;D;A;E;D
1715044;5;A;D;C;D;D;B;C;D;D;D;D;D;C;B;B;A;C;C;D;E;C;A;B;D;B;B;D;C;D;B;A;D;C;C;C;C;E;D;C;B;D;C;E;D;B;A;D;C;E;A;B;D;C;B;C;C;D;A;A;B;D;E;B;D;C;E;C;E;B;A;A;D;E;D;E;A;C;B;A;C;E;B;D;C;B;C;D;D;E;C
1715043;5;A;C;C;C;D;E;B;D;D;D;D;D;C;B;A;A;A;B;B;E;D;D;D;D;C;D;E;D;D;D;B;B;B;C;D;A;D;D;E;D;D;A;D;D;D;A;D;C;E;E;B;A;C;E;B;A;E;A;A;B;D;E;D;D;C;D;C;E;B;C;A;D;D;C;D;E;A;D;A;D;B;D;A;B;E;A;C;B;B;D
1715042;5;A;C;B;C;D;E;D;D;C;E;B;D;A;C;C;A;A;D;E;E;D;D;E;D;B;A;D;D;D;A;B;D;C;C;C;C;C;D;C;A;D;A;B;C;E;A;D;C;E;B;C;A;C;B;A;A;D;A;E;D;D;E;D;C;A;C;C;B;B;B;C;D;B;A;B;E;E;D;A;D;B;D;D;D;E;A;A;C;B;D
1715041;5;A;D;A;E;D;C;B;D;C;C;D;A;A;B;B;D;E;D;E;E;D;D;B;B;C;D;C;A;A;B;B;C;D;C;B;A;A;D;D;D;D;E;C;C;A;A;B;D;D;C;C;B;B;D;E;E;E;D;D;C;C;C;D;B;B;A;D;D;E;D;C;E;C;D;B;E;A;C;C;D;B;D;A;D;A;D;B;D;A;B
1715040;5;D;E;A;D;B;B;C;E;D;B;A;D;B;D;A;A;D;D;A;C;E;A;C;A;C;A;E;D;C;D;A;B;C;C;D;C;B;A;E;E;E;E;E;A;E;B;D;C;E;D;E;B;C;B;B;C;D;A;E;C;E;E;B;B;A;D;B;A;A;A;D;A;A;C;A;C;C;A;A;C;A;D;A;E;C;D;A;B;A;C
1715039;5;C;A;E;C;D;B;D;C;D;D;E;D;B;C;A;A;D;D;D;E;B;B;D;B;B;A;D;C;D;A;A;B;C;C;D;C;C;D;E;D;D;B;E;A;E;A;A;C;C;D;B;D;C;D;C;D;A;C;C;B;D;E;B;C;B;C;C;E;B;B;B;D;C;A;A;C;B;C;C;B;C;C;A;B;D;A;A;A;D;E
1715038;5;C;E;C;A;D;B;D;C;D;B;D;D;C;E;B;A;A;D;A;B;A;E;E;D;B;A;E;C;C;A;B;A;C;C;D;C;B;B;A;B;D;D;E;B;E;E;D;C;E;E;B;D;C;B;D;B;D;D;B;B;E;E;A;B;C;D;C;B;E;A;D;D;D;E;E;C;E;C;A;B;E;D;D;B;A;A;B;A;E;D
1715037;5;A;C;C;B;D;E;B;D;D;E;D;D;C;A;D;B;A;B;D;E;D;E;E;D;B;B;D;D;D;B;B;D;C;C;C;C;C;E;C;A;D;A;E;A;E;A;D;C;E;C;B;A;C;B;C;A;D;A;C;B;D;A;A;A;E;D;C;E;E;A;A;D;C;E;A;E;C;D;A;D;B;D;D;A;E;A;C;E;D;D
